id,disease,info,info_heb,wiki,wiki_heb,disease_heb
136,Rabies,,"כלבת היא מחלה נגיפית קטלנית התוקפת את מערכת העצבים של היונקים. למחלה תיעוד היסטורי רב, והיא קיימת גם בתקופה המודרנית.

לנגיפי הכלבת שני מאפיינים ייחודיים: הם אינם הופכים לפחות אלימים במהלך האבולוציה (למרות שבדרך כלל משתלם לטפיל שהפונדקאי שלו ישרוד יותר זמן כדי שיוכל לנצלו לזמן ממושך יותר), וטווח המאכסנים שלהם (מספר המינים שהם יכולים לתקוף) הוא רחב מאוד. המחלה מידבקת לא רק בקרב הכלביים, כפי ששמה עשוי לרמז, אלא בקרב כל היונקים כגון פרות, כבשים, סוסים, חתולים וכמו גם באדם.",,https://he.wikipedia.org/wiki/%D7%9B%D7%9C%D7%91%D7%AA,כלבת
137,Chlamydia trachomatis of the genital tract,,,,,כלמידיה טרכומטיס בדרכי המין
138,Lymphogranuloma venereum,,,,,לימפוגרנולומה ונראום
139,Listeriosis,,,,,ליסטריוזיס
140,Visceral leishmaniasis,,,,,לישמניאזיס - קלה אזר
141,Cutaneous leishmaniasis,,,,,לישמניאזיס של העור
142,Leptospirosis,,,,,לפטוספירוזיס
143,Legionellosis,,,,,מחלת הלגיונרים
144,Creutzfeldt-Jacob disease,,,,,מחלת קרויצפלדט-יעקוב
145,Malaria,,"מָלַרְיָה, או קדחת הביצות, היא מחלה זיהומית הנפוצה בעיקר באזור הטרופי.

המלריה היא אחד מגורמי המוות העיקריים בעולם, בפרט בקרב ילדים בעולם השלישי. ב-2009 חלו במלריה 225 מיליון אנשים, וב-2010 מתו ממנה 655 אלף חולים. רוב רובם של מקרי המוות ממלריה הם באפריקה שמדרום לסהרה.

מלריה מופצת על ידי יתושי אנופלס ופוגעת בעיקר בכדוריות הדם האדומות. במקרים קשים, נגרם גם נזק לאיברים חיוניים בגוף עקב אנמיה וחסימת כלי דם.",,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%A8%D7%99%D7%94,מלריה
146,GAS Invasive Infection,,"סטרפטוקוקוס A שייך לקבוצת הקוקים הגרם-חיוביים. חיידק הסטרפטוקוקוס מוכר כגורם לדלקת של הלוע (פרינגיטיס), זיהומים על פני העור הכוללים שושנה, ולפעמים זיהומים קשים שבעטיים קיבל החיידק את שמו ""החיידק הטורף"". הסטרפטוקוקוס נקרא בטא-המוליטי, כיוון שהוא גורם לתמס דם (המוליזה) מלא כאשר מגדלים אותו על מצע המכיל אגר ותאי דם אדומים.",,https://www.infomed.co.il/disease-1179/,סטרפטוקוקים מקבוצה A זיהום פולשני
147,Perinatal streptococcal B early onset,,סטרפטוקוקוס מקבוצה B (סטרפ B). סטרפטוקוק מסוג B הוא חיידק שכיח במערכת העיכול ובנרתיק (אצל נשים). ילודים נמצאים בסיכון לתחלואה חמורה בעקבות הדבקה בחיידק זה. מעריכים שכ- 20% מהנשים ההרות נושאות את חיידקי סטרפ B בנרתיק ובמערכת העיכול שלהן.,,https://he.wikipedia.org/wiki/Streptococcus,סטרפטוקוק B סב-לידתי - התחלה מוקדמת
148,Perinatal streptococcal B late onset,,סטרפטוקוקוס מקבוצה B (סטרפ B). סטרפטוקוק מסוג B הוא חיידק שכיח במערכת העיכול ובנרתיק (אצל נשים). ילודים נמצאים בסיכון לתחלואה חמורה בעקבות הדבקה בחיידק זה. מעריכים שכ- 20% מהנשים ההרות נושאות את חיידקי סטרפ B בנרתיק ובמערכת העיכול שלהן.,,https://he.wikipedia.org/wiki/Streptococcus,סטרפטוקוק B סב-לידתי - התחלה מאוחרת
149,Salmonellosis of the gastrointestinal tract,,,,,סלמונלוזיס של דרכי העיכול
150,Syphilis - primary and secondary,,"עַגֶּבֶת, או בשמה הלועזי סיפיליס (Syphilis), היא מחלת מין הנגרמת על ידי חיידק מהמין Treponema pallidum במערכת Spirochaete. המחלה עוברת בראש ובראשונה ביחסי מין, אך יכולה לעבור גם באמצעות מגע עם דם. דרכים פחות נפוצות להידבקות הן מגע עם פצע מזוהם (רק כאשר מדובר במגע עם חולה שנמצא בשלב הראשון של המחלה ויש לו כיבי עגבת פתוחים), וכן מעבר מהאם לעובר ברחם (עגבת מולדת).

אחד הכינויים לעגבת הוא ""החקיין הגדול"", וזאת עקב הקושי שבזיהוי המחלה בשלביה המוקדמים והידמותה למחלות אחרות.",,https://he.wikipedia.org/wiki/%D7%A2%D7%92%D7%91%D7%AA,עגבת ראשונית ושניונית
151,Syphilis - other,,"עַגֶּבֶת, או בשמה הלועזי סיפיליס (Syphilis), היא מחלת מין הנגרמת על ידי חיידק מהמין Treponema pallidum במערכת Spirochaete. המחלה עוברת בראש ובראשונה ביחסי מין, אך יכולה לעבור גם באמצעות מגע עם דם. דרכים פחות נפוצות להידבקות הן מגע עם פצע מזוהם (רק כאשר מדובר במגע עם חולה שנמצא בשלב הראשון של המחלה ויש לו כיבי עגבת פתוחים), וכן מעבר מהאם לעובר ברחם (עגבת מולדת).

אחד הכינויים לעגבת הוא ""החקיין הגדול"", וזאת עקב הקושי שבזיהוי המחלה בשלביה המוקדמים והידמותה למחלות אחרות.",,https://he.wikipedia.org/wiki/%D7%A2%D7%92%D7%91%D7%AA,עגבת אחרת ומאוחרת
152,Congenital Syphilis,,"עַגֶּבֶת, או בשמה הלועזי סיפיליס (Syphilis), היא מחלת מין הנגרמת על ידי חיידק מהמין Treponema pallidum במערכת Spirochaete. המחלה עוברת בראש ובראשונה ביחסי מין, אך יכולה לעבור גם באמצעות מגע עם דם. דרכים פחות נפוצות להידבקות הן מגע עם פצע מזוהם (רק כאשר מדובר במגע עם חולה שנמצא בשלב הראשון של המחלה ויש לו כיבי עגבת פתוחים), וכן מעבר מהאם לעובר ברחם (עגבת מולדת).

אחד הכינויים לעגבת הוא ""החקיין הגדול"", וזאת עקב הקושי שבזיהוי המחלה בשלביה המוקדמים והידמותה למחלות אחרות.",,https://he.wikipedia.org/wiki/%D7%A2%D7%92%D7%91%D7%AA,עגבת מלידה
153,Paratyphoid fever,,,,,פאראטיפואיד
154,Tetanus,,,,,צפדת
155,Leprosy,,,,,צרעת
156,Q fever,,,,,קדחת Q
157,Dangue fever,,,,,קדחת דנגי
158,Rift Valley fever,,,,,קדחת השקע האפריקני
159,Relapsing fever,,,,,קדחת חוזרת
160,Spotted fever,,,,,קדחת כתמים
161,West Nile fever,,,,,קדחת מערב הנילוס
162,"Viral hemorrhagic fever: Ebola, Lassa, Marburg",,,,,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג"
163,"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",,,,,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג"
164,Yellow Fever,,,,,קדחת צהובה
165,Rheumatic fever,,,,,קדחת שיגרון
166,Campylobacteriosis,,,,,קמפילובקטריוזיס
167,Criptosporidiosis,,,,,קריפטוספורידיוזיס
168,Other rickettsial diseases,,,,,ריקטסיוזות אחרות
169,Tuberculosis - active pulmonary,,,,,שחפת ריאות פעילה
170,Tuberculosis - extrapulmonary,,,,,שחפת מחוץ לריאות
171,Shigellosis,,,,,שיגלוזיס
172,Poliomyelitis caused by wild-type poliovirus,,,,,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו"
173,Poliomyelitis caused by vaccine derived poliovirus,,,,,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון"
174,Acute flaccid paralysis (through 15),,,,,שיתוק רפה חד (עד גיל 15 ועד בכלל)
175,Pertussis,,,,,שעלת
176,Influenza caused by a new subtype,,,,,"שפעת הנגרמת ע""י זן חדש"
177,Pandemic influenza,,,,,שפעת פנדמית
178,Avian influenza,,,,,שפעת העופות
179,Toxic shock syndrome,,,,,תסמונת ההלם הטוקסי
180,Severe Acute Respiratory Syndrome (SARS),,,,,תסמונת נשימתית חמורה חדה
181,Food/Water borne infections,,,,,הרעלת מזון/מים
182,Hospital (nosocomial) infections,,,,,זיהומים בבית חולים
183,Death - Total (all causes),,,,,"סה""כ פטירות - כל הסיבות"
184,Death age < 1 (all causes),,,,,"סה""כ פטירות - כל הסיבות - גיל < 1"
185,Death - Pneumonia - single cause (all ages),,,,,פטירות מדלקת ריאות - סיבה יחידה
186,Death - Pneumonia - single cause (age < 1),,,,,פטירות מדלקת ריאות - סיבה יחידה - גיל < 1
187,Death - Pneumonia+other causes (all ages),,,,,פטירות מדלקת ריאות עם סיבות אחרות
188,Death - Pneumonia+other causes (age < 1),,,,,פטירות מדלקת ריאות עם סיבות אחרות - גיל < 1
189,Death - Influenza (all ages),,,,,פטירות משפעת
190,Death - Influenza (age < 1),,,,,פטירות משפעת - גיל < 1
191,Zika,,,,,זיקה
192,Congenital Zika,,,,,זיקה מלידה
193,AIDS,,,,,נשא HIV/ איידס
194,HIV carrier,,,,,נשא HIV/ איידס
195,Plague,,,,,דבר
196,Ebola virus disease,,,,,אבולה
197,Marburg virus disease,,,,,מרבורג
198,Lassa fever,,,,,לאסה
199,Other viral hemorrhagic fevers,,,,,מחלות נגיפיות אחרות
200,Poliomyelitis,,,,,פוליו
201,Death - Gastrointestinal dis.*,,,,,פטירות מדלקת מעיים*
202,Death - Gastrointestinal dis. (age < 1)*,,,,,פטירות מדלקת מעיים -גיל < 1*
203,Death - Chemical poisoning - accidental,,,,,פטירות מהרעלות כימיות תאונתיות
204,Death - Chemical poisoning - intentional,,,,,פטירות מהרעלות כימיות עצמיות
205,Death - Chemical poisoning - N.O.S.,,,,,פטירות מהרעלות כימיות - סיבות לא ידועות
206,"Viral hemorrhagic fever (Ebola, Lassa, Marburg)",,,,,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג"
207,"Viral hemorrhagic fever (not including Ebola, Lassa, Marburg)",,,,,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג"
208,Perinatal strep B early onset,,,,,סטרפטוקוק B סב-לידתי - התחלה מוקדמת
209,Perinatal strep B late onset,,,,,סטרפטוקוק B סב-לידתי - התחלה מאוחרת
210,Meningococcal invasive infection*,,,,,"זיהום פולשני ע""י מנינגוקוק"
211,Meningitis - meningococcal*,,,,,דלקת עוצבה חדה מנינגוקוקית
212,Congenital Syphilis*,,,,,עגבת מלידה
